Date,Demand,Product_Product B,Product_Product C,Demand(t-1),Demand(t-2),Year,Month,DayOfWeek,Product_Product B * Demand,Product_Product C * Demand
2019-02-03,77,True,False,86.0,79.0,2019,2,6,77,0
2019-02-03,182,False,True,77.0,86.0,2019,2,6,0,182
2019-02-03,109,False,False,182.0,77.0,2019,2,6,0,0
2019-02-04,170,False,False,109.0,182.0,2019,2,0,0,0
2019-02-04,190,True,False,170.0,109.0,2019,2,0,190,0
2019-02-04,66,False,True,190.0,170.0,2019,2,0,0,66
2019-02-05,163,False,False,66.0,190.0,2019,2,1,0,0
2019-02-05,139,True,False,163.0,66.0,2019,2,1,139,0
2019-02-05,52,False,True,139.0,163.0,2019,2,1,0,52
2019-02-06,119,False,True,52.0,139.0,2019,2,2,0,119
2019-02-06,126,True,False,119.0,52.0,2019,2,2,126,0
2019-02-06,147,False,False,126.0,119.0,2019,2,2,0,0
2019-02-07,98,False,False,147.0,126.0,2019,2,3,0,0
2019-02-07,122,True,False,98.0,147.0,2019,2,3,122,0
2019-02-07,130,False,True,122.0,98.0,2019,2,3,0,130
2019-02-08,174,False,False,130.0,122.0,2019,2,4,0,0
2019-02-08,194,True,False,174.0,130.0,2019,2,4,194,0
2019-02-08,184,False,True,194.0,174.0,2019,2,4,0,184
2019-02-09,184,False,True,184.0,194.0,2019,2,5,0,184
2019-02-09,123,True,False,184.0,184.0,2019,2,5,123,0
2019-02-09,77,False,False,123.0,184.0,2019,2,5,0,0
2019-02-10,110,False,False,77.0,123.0,2019,2,6,0,0
2019-02-10,164,True,False,110.0,77.0,2019,2,6,164,0
2019-02-10,134,False,True,164.0,110.0,2019,2,6,0,134
2019-02-11,159,False,False,134.0,164.0,2019,2,0,0,0
2019-02-11,155,True,False,159.0,134.0,2019,2,0,155,0
2019-02-11,73,False,True,155.0,159.0,2019,2,0,0,73
2019-02-12,144,False,False,73.0,155.0,2019,2,1,0,0
2019-02-12,66,True,False,144.0,73.0,2019,2,1,66,0
2019-02-12,166,False,True,66.0,144.0,2019,2,1,0,166
2019-02-13,132,False,True,166.0,66.0,2019,2,2,0,132
2019-02-13,74,False,False,132.0,166.0,2019,2,2,0,0
2019-02-13,75,True,False,74.0,132.0,2019,2,2,75,0
2019-02-14,172,True,False,75.0,74.0,2019,2,3,172,0
2019-02-14,88,False,True,172.0,75.0,2019,2,3,0,88
2019-02-14,192,False,False,88.0,172.0,2019,2,3,0,0
2019-02-15,59,False,True,192.0,88.0,2019,2,4,0,59
2019-02-15,198,True,False,59.0,192.0,2019,2,4,198,0
2019-02-15,113,False,False,198.0,59.0,2019,2,4,0,0
2019-02-16,183,False,False,113.0,198.0,2019,2,5,0,0
2019-02-16,117,True,False,183.0,113.0,2019,2,5,117,0
2019-02-16,111,False,True,117.0,183.0,2019,2,5,0,111
2019-02-17,163,False,False,111.0,117.0,2019,2,6,0,0
2019-02-17,157,True,False,163.0,111.0,2019,2,6,157,0
2019-02-17,77,False,True,157.0,163.0,2019,2,6,0,77
2019-02-18,61,False,False,77.0,157.0,2019,2,0,0,0
2019-02-18,141,True,False,61.0,77.0,2019,2,0,141,0
2019-02-18,51,False,True,141.0,61.0,2019,2,0,0,51
2019-02-19,173,False,False,51.0,141.0,2019,2,1,0,0
2019-02-19,102,True,False,173.0,51.0,2019,2,1,102,0
2019-02-19,87,False,True,102.0,173.0,2019,2,1,0,87
2019-02-20,149,True,False,87.0,102.0,2019,2,2,149,0
2019-02-20,176,False,True,149.0,87.0,2019,2,2,0,176
2019-02-20,115,False,False,176.0,149.0,2019,2,2,0,0
2019-02-21,168,False,False,115.0,176.0,2019,2,3,0,0
2019-02-21,114,True,False,168.0,115.0,2019,2,3,114,0
2019-02-21,180,False,True,114.0,168.0,2019,2,3,0,180
2019-02-22,158,False,False,180.0,114.0,2019,2,4,0,0
2019-02-22,78,True,False,158.0,180.0,2019,2,4,78,0
2019-02-22,198,False,True,78.0,158.0,2019,2,4,0,198
2019-02-23,100,True,False,198.0,78.0,2019,2,5,100,0
2019-02-23,84,False,False,100.0,198.0,2019,2,5,0,0
2019-02-23,84,False,True,84.0,100.0,2019,2,5,0,84
2019-02-24,151,False,False,84.0,84.0,2019,2,6,0,0
2019-02-24,81,True,False,151.0,84.0,2019,2,6,81,0
2019-02-24,158,False,True,81.0,151.0,2019,2,6,0,158
2019-02-25,59,True,False,158.0,81.0,2019,2,0,59,0
2019-02-25,132,False,True,59.0,158.0,2019,2,0,0,132
2019-02-25,95,False,False,132.0,59.0,2019,2,0,0,0
2019-02-26,110,True,False,95.0,132.0,2019,2,1,110,0
2019-02-26,68,False,True,110.0,95.0,2019,2,1,0,68
2019-02-26,120,False,False,68.0,110.0,2019,2,1,0,0
2019-02-27,100,False,False,120.0,68.0,2019,2,2,0,0
2019-02-27,142,True,False,100.0,120.0,2019,2,2,142,0
2019-02-27,150,False,True,142.0,100.0,2019,2,2,0,150
2019-02-28,74,False,False,150.0,142.0,2019,2,3,0,0
2019-02-28,114,True,False,74.0,150.0,2019,2,3,114,0
2019-02-28,89,False,True,114.0,74.0,2019,2,3,0,89
2019-03-01,191,False,True,89.0,114.0,2019,3,4,0,191
2019-03-01,125,True,False,191.0,89.0,2019,3,4,125,0
2019-03-01,86,False,False,125.0,191.0,2019,3,4,0,0
2019-03-02,192,False,False,86.0,125.0,2019,3,5,0,0
2019-03-02,135,True,False,192.0,86.0,2019,3,5,135,0
2019-03-02,166,False,True,135.0,192.0,2019,3,5,0,166
2019-03-03,174,False,False,166.0,135.0,2019,3,6,0,0
2019-03-03,119,True,False,174.0,166.0,2019,3,6,119,0
2019-03-03,116,False,True,119.0,174.0,2019,3,6,0,116
2019-03-04,154,False,True,116.0,119.0,2019,3,0,0,154
2019-03-04,194,True,False,154.0,116.0,2019,3,0,194,0
2019-03-04,89,False,False,194.0,154.0,2019,3,0,0,0
2019-03-05,84,False,False,89.0,194.0,2019,3,1,0,0
2019-03-05,130,True,False,84.0,89.0,2019,3,1,130,0
2019-03-05,162,False,True,130.0,84.0,2019,3,1,0,162
2019-03-06,107,False,False,162.0,130.0,2019,3,2,0,0
2019-03-06,143,True,False,107.0,162.0,2019,3,2,143,0
2019-03-06,52,False,True,143.0,107.0,2019,3,2,0,52
2019-03-07,97,False,False,52.0,143.0,2019,3,3,0,0
2019-03-07,90,True,False,97.0,52.0,2019,3,3,90,0
2019-03-07,164,False,True,90.0,97.0,2019,3,3,0,164
2019-03-08,131,False,True,164.0,90.0,2019,3,4,0,131
2019-03-08,167,False,False,131.0,164.0,2019,3,4,0,0
2019-03-08,54,True,False,167.0,131.0,2019,3,4,54,0
2019-03-09,167,True,False,54.0,167.0,2019,3,5,167,0
2019-03-09,128,False,True,167.0,54.0,2019,3,5,0,128
2019-03-09,50,False,False,128.0,167.0,2019,3,5,0,0
2019-03-10,158,False,True,50.0,128.0,2019,3,6,0,158
2019-03-10,128,True,False,158.0,50.0,2019,3,6,128,0
2019-03-10,151,False,False,128.0,158.0,2019,3,6,0,0
2019-03-11,90,False,False,151.0,128.0,2019,3,0,0,0
2019-03-11,200,True,False,90.0,151.0,2019,3,0,200,0
2019-03-11,67,False,True,200.0,90.0,2019,3,0,0,67
2019-03-12,126,False,False,67.0,200.0,2019,3,1,0,0
2019-03-12,146,True,False,126.0,67.0,2019,3,1,146,0
2019-03-12,105,False,True,146.0,126.0,2019,3,1,0,105
2019-03-13,76,False,False,105.0,146.0,2019,3,2,0,0
2019-03-13,81,True,False,76.0,105.0,2019,3,2,81,0
2019-03-13,103,False,True,81.0,76.0,2019,3,2,0,103
2019-03-14,171,False,False,103.0,81.0,2019,3,3,0,0
2019-03-14,130,True,False,171.0,103.0,2019,3,3,130,0
2019-03-14,90,False,True,130.0,171.0,2019,3,3,0,90
2019-03-15,163,True,False,90.0,130.0,2019,3,4,163,0
2019-03-15,93,False,True,163.0,90.0,2019,3,4,0,93
2019-03-15,50,False,False,93.0,163.0,2019,3,4,0,0
2019-03-16,71,False,False,50.0,93.0,2019,3,5,0,0
2019-03-16,160,True,False,71.0,50.0,2019,3,5,160,0
2019-03-16,113,False,True,160.0,71.0,2019,3,5,0,113
2019-03-17,173,False,False,113.0,160.0,2019,3,6,0,0
2019-03-17,94,True,False,173.0,113.0,2019,3,6,94,0
2019-03-17,94,False,True,94.0,173.0,2019,3,6,0,94
2019-03-18,124,True,False,94.0,94.0,2019,3,0,124,0
2019-03-18,125,False,False,124.0,94.0,2019,3,0,0,0
2019-03-18,155,False,True,125.0,124.0,2019,3,0,0,155
2019-03-19,163,False,False,155.0,125.0,2019,3,1,0,0
2019-03-19,164,True,False,163.0,155.0,2019,3,1,164,0
2019-03-19,150,False,True,164.0,163.0,2019,3,1,0,150
2019-03-20,54,True,False,150.0,164.0,2019,3,2,54,0
2019-03-20,187,False,True,54.0,150.0,2019,3,2,0,187
2019-03-20,153,False,False,187.0,54.0,2019,3,2,0,0
2019-03-21,199,True,False,153.0,187.0,2019,3,3,199,0
2019-03-21,75,False,True,199.0,153.0,2019,3,3,0,75
2019-03-21,150,False,False,75.0,199.0,2019,3,3,0,0
2019-03-22,81,False,False,150.0,75.0,2019,3,4,0,0
2019-03-22,94,True,False,81.0,150.0,2019,3,4,94,0
2019-03-22,139,False,True,94.0,81.0,2019,3,4,0,139
2019-03-23,76,False,False,139.0,94.0,2019,3,5,0,0
2019-03-23,157,True,False,76.0,139.0,2019,3,5,157,0
2019-03-23,51,False,True,157.0,76.0,2019,3,5,0,51
2019-03-24,122,False,True,51.0,157.0,2019,3,6,0,122
2019-03-24,99,True,False,122.0,51.0,2019,3,6,99,0
2019-03-24,193,False,False,99.0,122.0,2019,3,6,0,0
2019-03-25,90,False,False,193.0,99.0,2019,3,0,0,0
2019-03-25,191,True,False,90.0,193.0,2019,3,0,191,0
2019-03-25,131,False,True,191.0,90.0,2019,3,0,0,131
2019-03-26,140,False,False,131.0,191.0,2019,3,1,0,0
2019-03-26,126,True,False,140.0,131.0,2019,3,1,126,0
2019-03-26,61,False,True,126.0,140.0,2019,3,1,0,61
2019-03-27,165,False,True,61.0,126.0,2019,3,2,0,165
2019-03-27,196,True,False,165.0,61.0,2019,3,2,196,0
2019-03-27,73,False,False,196.0,165.0,2019,3,2,0,0
2019-03-28,71,False,False,73.0,196.0,2019,3,3,0,0
2019-03-28,108,True,False,71.0,73.0,2019,3,3,108,0
2019-03-28,136,False,True,108.0,71.0,2019,3,3,0,136
2019-03-29,151,False,False,136.0,108.0,2019,3,4,0,0
2019-03-29,75,True,False,151.0,136.0,2019,3,4,75,0
2019-03-29,109,False,True,75.0,151.0,2019,3,4,0,109
2019-03-30,166,False,False,109.0,75.0,2019,3,5,0,0
2019-03-30,130,True,False,166.0,109.0,2019,3,5,130,0
2019-03-30,157,False,True,130.0,166.0,2019,3,5,0,157
2019-03-31,193,False,True,157.0,130.0,2019,3,6,0,193
2019-03-31,145,False,False,193.0,157.0,2019,3,6,0,0
2019-03-31,86,True,False,145.0,193.0,2019,3,6,86,0
2019-04-01,187,True,False,86.0,145.0,2019,4,0,187,0
2019-04-01,123,False,True,187.0,86.0,2019,4,0,0,123
2019-04-01,86,False,False,123.0,187.0,2019,4,0,0,0
2019-04-02,91,False,True,86.0,123.0,2019,4,1,0,91
2019-04-02,108,False,False,91.0,86.0,2019,4,1,0,0
2019-04-02,123,True,False,108.0,91.0,2019,4,1,123,0
2019-04-03,52,False,False,123.0,108.0,2019,4,2,0,0
2019-04-03,137,True,False,52.0,123.0,2019,4,2,137,0
2019-04-03,199,False,True,137.0,52.0,2019,4,2,0,199
2019-04-04,67,False,False,199.0,137.0,2019,4,3,0,0
2019-04-04,69,True,False,67.0,199.0,2019,4,3,69,0
2019-04-04,194,False,True,69.0,67.0,2019,4,3,0,194
2019-04-05,168,False,False,194.0,69.0,2019,4,4,0,0
2019-04-05,84,True,False,168.0,194.0,2019,4,4,84,0
2019-04-05,89,False,True,84.0,168.0,2019,4,4,0,89
2019-04-06,162,False,False,89.0,84.0,2019,4,5,0,0
2019-04-06,194,True,False,162.0,89.0,2019,4,5,194,0
2019-04-06,186,False,True,194.0,162.0,2019,4,5,0,186
2019-04-07,163,True,False,186.0,194.0,2019,4,6,163,0
2019-04-07,155,False,True,163.0,186.0,2019,4,6,0,155
2019-04-07,187,False,False,155.0,163.0,2019,4,6,0,0
2019-04-08,92,False,False,187.0,155.0,2019,4,0,0,0
2019-04-08,131,True,False,92.0,187.0,2019,4,0,131,0
2019-04-08,57,False,True,131.0,92.0,2019,4,0,0,57
2019-04-09,95,False,False,57.0,131.0,2019,4,1,0,0
2019-04-09,151,True,False,95.0,57.0,2019,4,1,151,0
2019-04-09,155,False,True,151.0,95.0,2019,4,1,0,155
2019-04-10,177,True,False,155.0,151.0,2019,4,2,177,0
2019-04-10,150,False,False,177.0,155.0,2019,4,2,0,0
2019-04-10,50,False,True,150.0,177.0,2019,4,2,0,50
2019-04-11,91,False,False,50.0,150.0,2019,4,3,0,0
2019-04-11,80,True,False,91.0,50.0,2019,4,3,80,0
2019-04-11,68,False,True,80.0,91.0,2019,4,3,0,68
2019-04-12,61,True,False,68.0,80.0,2019,4,4,61,0
2019-04-12,197,False,True,61.0,68.0,2019,4,4,0,197
2019-04-12,90,False,False,197.0,61.0,2019,4,4,0,0
2019-04-13,76,False,True,90.0,197.0,2019,4,5,0,76
2019-04-13,74,True,False,76.0,90.0,2019,4,5,74,0
2019-04-13,107,False,False,74.0,76.0,2019,4,5,0,0
2019-04-14,120,False,False,107.0,74.0,2019,4,6,0,0
2019-04-14,138,True,False,120.0,107.0,2019,4,6,138,0
2019-04-14,155,False,True,138.0,120.0,2019,4,6,0,155
2019-04-15,140,False,False,155.0,138.0,2019,4,0,0,0
2019-04-15,60,True,False,140.0,155.0,2019,4,0,60,0
2019-04-15,104,False,True,60.0,140.0,2019,4,0,0,104
2019-04-16,157,False,False,104.0,60.0,2019,4,1,0,0
2019-04-16,110,True,False,157.0,104.0,2019,4,1,110,0
2019-04-16,63,False,True,110.0,157.0,2019,4,1,0,63
2019-04-17,133,False,False,63.0,110.0,2019,4,2,0,0
2019-04-17,70,True,False,133.0,63.0,2019,4,2,70,0
2019-04-17,140,False,True,70.0,133.0,2019,4,2,0,140
2019-04-18,134,True,False,140.0,70.0,2019,4,3,134,0
2019-04-18,152,False,True,134.0,140.0,2019,4,3,0,152
2019-04-18,91,False,False,152.0,134.0,2019,4,3,0,0
2019-04-19,74,False,False,91.0,152.0,2019,4,4,0,0
2019-04-19,102,True,False,74.0,91.0,2019,4,4,102,0
2019-04-19,153,False,True,102.0,74.0,2019,4,4,0,153
2019-04-20,101,False,False,153.0,102.0,2019,4,5,0,0
2019-04-20,176,True,False,101.0,153.0,2019,4,5,176,0
2019-04-20,87,False,True,176.0,101.0,2019,4,5,0,87
2019-04-21,114,True,False,87.0,176.0,2019,4,6,114,0
2019-04-21,148,False,False,114.0,87.0,2019,4,6,0,0
2019-04-21,150,False,True,148.0,114.0,2019,4,6,0,150
2019-04-22,105,False,False,150.0,148.0,2019,4,0,0,0
2019-04-22,75,True,False,105.0,150.0,2019,4,0,75,0
2019-04-22,161,False,True,75.0,105.0,2019,4,0,0,161
2019-04-23,171,True,False,161.0,75.0,2019,4,1,171,0
2019-04-23,127,False,True,171.0,161.0,2019,4,1,0,127
2019-04-23,128,False,False,127.0,171.0,2019,4,1,0,0
2019-04-24,152,True,False,128.0,127.0,2019,4,2,152,0
2019-04-24,185,False,True,152.0,128.0,2019,4,2,0,185
2019-04-24,118,False,False,185.0,152.0,2019,4,2,0,0
2019-04-25,164,False,False,118.0,185.0,2019,4,3,0,0
2019-04-25,111,True,False,164.0,118.0,2019,4,3,111,0
2019-04-25,157,False,True,111.0,164.0,2019,4,3,0,157
2019-04-26,82,False,False,157.0,111.0,2019,4,4,0,0
2019-04-26,115,True,False,82.0,157.0,2019,4,4,115,0
2019-04-26,121,False,True,115.0,82.0,2019,4,4,0,121
2019-04-27,119,False,False,121.0,115.0,2019,4,5,0,0
2019-04-27,101,True,False,119.0,121.0,2019,4,5,101,0
2019-04-27,120,False,True,101.0,119.0,2019,4,5,0,120
2019-04-28,109,False,False,120.0,101.0,2019,4,6,0,0
2019-04-28,71,True,False,109.0,120.0,2019,4,6,71,0
2019-04-28,146,False,True,71.0,109.0,2019,4,6,0,146
2019-04-29,56,True,False,146.0,71.0,2019,4,0,56,0
2019-04-29,140,False,True,56.0,146.0,2019,4,0,0,140
2019-04-29,54,False,False,140.0,56.0,2019,4,0,0,0
2019-04-30,184,False,False,54.0,140.0,2019,4,1,0,0
2019-04-30,160,True,False,184.0,54.0,2019,4,1,160,0
2019-04-30,79,False,True,160.0,184.0,2019,4,1,0,79
2019-05-01,166,False,False,79.0,160.0,2019,5,2,0,0
2019-05-01,160,True,False,166.0,79.0,2019,5,2,160,0
2019-05-01,116,False,True,160.0,166.0,2019,5,2,0,116
2019-05-02,51,True,False,116.0,160.0,2019,5,3,51,0
2019-05-02,110,False,False,51.0,116.0,2019,5,3,0,0
2019-05-02,190,False,True,110.0,51.0,2019,5,3,0,190
2019-05-03,127,False,False,190.0,110.0,2019,5,4,0,0
2019-05-03,93,True,False,127.0,190.0,2019,5,4,93,0
2019-05-03,67,False,True,93.0,127.0,2019,5,4,0,67
2019-05-04,124,True,False,67.0,93.0,2019,5,5,124,0
2019-05-04,154,False,True,124.0,67.0,2019,5,5,0,154
2019-05-04,92,False,False,154.0,124.0,2019,5,5,0,0
2019-05-05,103,False,True,92.0,154.0,2019,5,6,0,103
2019-05-05,135,True,False,103.0,92.0,2019,5,6,135,0
2019-05-05,131,False,False,135.0,103.0,2019,5,6,0,0
2019-05-06,118,False,False,131.0,135.0,2019,5,0,0,0
2019-05-06,199,True,False,118.0,131.0,2019,5,0,199,0
2019-05-06,155,False,True,199.0,118.0,2019,5,0,0,155
2019-05-07,77,False,False,155.0,199.0,2019,5,1,0,0
2019-05-07,56,True,False,77.0,155.0,2019,5,1,56,0
2019-05-07,98,False,True,56.0,77.0,2019,5,1,0,98
2019-05-08,135,False,False,98.0,56.0,2019,5,2,0,0
2019-05-08,167,True,False,135.0,98.0,2019,5,2,167,0
2019-05-08,75,False,True,167.0,135.0,2019,5,2,0,75
2019-05-09,54,False,False,75.0,167.0,2019,5,3,0,0
2019-05-09,92,True,False,54.0,75.0,2019,5,3,92,0
2019-05-09,68,False,True,92.0,54.0,2019,5,3,0,68
2019-05-10,66,True,False,68.0,92.0,2019,5,4,66,0
2019-05-10,125,False,True,66.0,68.0,2019,5,4,0,125
2019-05-10,93,False,False,125.0,66.0,2019,5,4,0,0
2019-05-11,157,False,False,93.0,125.0,2019,5,5,0,0
2019-05-11,83,True,False,157.0,93.0,2019,5,5,83,0
2019-05-11,53,False,True,83.0,157.0,2019,5,5,0,53
2019-05-12,176,False,False,53.0,83.0,2019,5,6,0,0
2019-05-12,146,True,False,176.0,53.0,2019,5,6,146,0
2019-05-12,83,False,True,146.0,176.0,2019,5,6,0,83
2019-05-13,110,True,False,83.0,146.0,2019,5,0,110,0
2019-05-13,127,False,False,110.0,83.0,2019,5,0,0,0
2019-05-13,169,False,True,127.0,110.0,2019,5,0,0,169
2019-05-14,184,False,False,169.0,127.0,2019,5,1,0,0
2019-05-14,50,True,False,184.0,169.0,2019,5,1,50,0
2019-05-14,75,False,True,50.0,184.0,2019,5,1,0,75
2019-05-15,154,True,False,75.0,50.0,2019,5,2,154,0
2019-05-15,112,False,True,154.0,75.0,2019,5,2,0,112
2019-05-15,199,False,False,112.0,154.0,2019,5,2,0,0
2019-05-16,82,True,False,199.0,112.0,2019,5,3,82,0
2019-05-16,58,False,True,82.0,199.0,2019,5,3,0,58
2019-05-16,70,False,False,58.0,82.0,2019,5,3,0,0
2019-05-17,152,False,True,70.0,58.0,2019,5,4,0,152
2019-05-17,167,True,False,152.0,70.0,2019,5,4,167,0
2019-05-17,120,False,False,167.0,152.0,2019,5,4,0,0
2019-05-18,50,False,False,120.0,167.0,2019,5,5,0,0
2019-05-18,79,True,False,50.0,120.0,2019,5,5,79,0
2019-05-18,63,False,True,79.0,50.0,2019,5,5,0,63
2019-05-19,114,False,False,63.0,79.0,2019,5,6,0,0
2019-05-19,81,True,False,114.0,63.0,2019,5,6,81,0
2019-05-19,88,False,True,81.0,114.0,2019,5,6,0,88
2019-05-20,92,False,False,88.0,81.0,2019,5,0,0,0
2019-05-20,109,True,False,92.0,88.0,2019,5,0,109,0
2019-05-20,63,False,True,109.0,92.0,2019,5,0,0,63
2019-05-21,132,False,False,63.0,109.0,2019,5,1,0,0
2019-05-21,95,True,False,132.0,63.0,2019,5,1,95,0
2019-05-21,157,False,True,95.0,132.0,2019,5,1,0,157
2019-05-22,112,True,False,157.0,95.0,2019,5,2,112,0
2019-05-22,160,False,True,112.0,157.0,2019,5,2,0,160
2019-05-22,171,False,False,160.0,112.0,2019,5,2,0,0
2019-05-23,187,False,False,171.0,160.0,2019,5,3,0,0
2019-05-23,70,True,False,187.0,171.0,2019,5,3,70,0
2019-05-23,80,False,True,70.0,187.0,2019,5,3,0,80
2019-05-24,51,False,False,80.0,70.0,2019,5,4,0,0
2019-05-24,162,True,False,51.0,80.0,2019,5,4,162,0
2019-05-24,86,False,True,162.0,51.0,2019,5,4,0,86
